"total_licence_storage","geom"
"24669.6","0101000020BD0B0000803F352EF24E364110D0441899752441"
"3700.44","0101000020BD0B0000D02B65499AF8354190658803E9B12341"
"42555.06","0101000020BD0B000038AB3E67BCF83441B069DED10B6E2241"
"74008.8","0101000020BD0B0000F09E3C6CF9F233416007CEF974762341"
"70308.36","0101000020BD0B0000B837F8D21C15354160EE5A2205932341"
"24669.6","0101000020BD0B0000B0FA5C1DD6F0354130431CCB22AD2341"
"24669.6","0101000020BD0B0000F86C561D4244354100DE02A95B1B2441"
"370044","0101000020BD0B000050DA1B5C671034415050FC78ECAA2241"
"24669.6","0101000020BD0B0000004D84ED2EE1354130AB3ED783022341"
"24669.6","0101000020BD0B000048BF7D4D9BE13541F038452745FF2241"
"24669.6","0101000020BD0B000008560E7DB845344100917E1B12CC2541"
"24669.6","0101000020BD0B000028F697ED12F33441C0270F4BBD1E2641"
"246696","0101000020BD0B0000A0CDAADF0E813541E0B5849C1B932541"
"7462.554","0101000020BD0B0000589FAB5D24EE3541A0BDC117B68C2341"
"14800000","0101000020BD0B0000182FDD4491A5334180855AB313702341"
"74008.8","0101000020BD0B0000183FC61C7AFD344190D40948ACC72241"
"24669.6","0101000020BD0B00004872F97F9A513541A0C420D0F3682441"
"24669.6","0101000020BD0B0000B0FA5C3D6F1F3541A09999D9CEA72441"
"24669.6","0101000020BD0B000048C8079DE3C43441C042AD49894F2441"
"24669.6","0101000020BD0B000048C8074D7AC63441C042AD29AA4C2441"
"104969.148","0101000020BD0B0000F8A9F1225B1A364160105859D72C2441"
"24669.6","0101000020BD0B0000183FC62CDFCE334170A3015C28DD2541"
"51806.16","0101000020BD0B0000B8D100FEF105364170029A88AB8D2441"
"24669.6","0101000020BD0B0000A023B9ECD0CB33410088F4BBBAD02541"
"24669.6","0101000020BD0B000058B1BF4C60DE3441F0065FB8A7FD2241"
"6167400","0101000020BD0B000078711BEDCDB534413055308A2BCC2441"
"24669.6","0101000020BD0B00003055303AB8F0344120E483DE821C2241"
"24669.6","0101000020BD0B000050D1911C32F6344190FD657776142241"
"24669.6","0101000020BD0B000048C8077D46F6344170F90F699BD32341"
"30837","0101000020BD0B000030FF218D0D48354110D0441803572341"
"30837","0101000020BD0B000030FF218D0449354110D04438C9552341"
"30837","0101000020BD0B0000E88C289DF14A354160423E6807562341"
"24669.6","0101000020BD0B000098DD9377D4C5344160D3BC4319672441"
"24669.6","0101000020BD0B000008560E0DE8C83441305EBA29E6662441"
"37004.4","0101000020BD0B00008048BF2D8BFA3541D066D52771B42341"
"24669.6","0101000020BD0B0000A8CFD5862CA7354110C7BA58A8E72641"
"24669.6","0101000020BD0B0000102DB22D97E635414082E20752A42341"
"1233.48","0101000020BD0B0000589FABBD86E6354110D9CEB716932341"
"24669.6","0101000020BD0B0000201FF46C23FE3441E01DA7A8EA6E2341"
"24669.6","0101000020BD0B0000903A016D4FEE344130871679B9D22341"
"12334.8","0101000020BD0B0000F09E3C9CD1A7344190FD6517EEB12141"
"69074.88","0101000020BD0B000020166A6D89343541B0627F19B39D2441"
"24669.6","0101000020BD0B000078711B4DB5D034412095D4A98C842441"
"37004.4","0101000020BD0B0000705F079E98B83541B059F579D7A82541"
"24669.6","0101000020BD0B0000A01A2FCD49BE354130D49AC6C3312241"
"185022","0101000020BD0B000060CC5DCB1BF3304100098ADFBDD72641"
"55506600","0101000020BD0B0000908785FAF1623241E00B93A99AF62041"
"55506600","0101000020BD0B000050AF9485B45F324110E02D50F6F22041"
"80780605.2","0101000020BD0B0000B059F5290EF93141B082514930052041"
"61674","0101000020BD0B0000B003E7CC64413341509621EE51EE2741"
"37004.4","0101000020BD0B000038DF4F3D904A3341E05F760FB3D02941"
"61674","0101000020BD0B000058A8353DD7C03341C0BAB8AD91F82741"
"793127.64","0101000020BD0B0000708104359B76334140AD697E013C2741"
"24669.6","0101000020BD0B0000881F639E95A5344110F2414FF4F92A41"
"24669.6","0101000020BD0B000098438BBCD7D732415096214EE9742741"
"30837","0101000020BD0B0000C0E314FDF8593341901F638E3D692841"
"61674","0101000020BD0B000008560E0DA4483341E0718A8E1F8E2841"
"24669.6","0101000020BD0B000030FF218D97B13341E0839E6D91C02741"
"24669.6","0101000020BD0B0000E88C287D29783341D0915CDE49752841"
"24669.6","0101000020BD0B000030FF213DAE78334160764FBEB3712841"
"24669.6","0101000020BD0B000060C3D3CBB7343141E0361A20901D2841"
"24669.6","0101000020BD0B0000085F982C3EF83241D09AE67D824B2741"
"24669.6","0101000020BD0B0000408B6C5724F4304160DC4603998F2641"
"67841.4","0101000020BD0B0000982A182516EF3041A0E61DC786FE2641"
"24669.6","0101000020BD0B000050DA1B2C2259314120A0899054112941"
"24669.6","0101000020BD0B0000A83E57DBDFF23041E05F768F74B92641"
"793127.64","0101000020BD0B000050840D3F5A76334170226C988D3E2741"
"25286.34","0101000020BD0B0000081B9E0E5DF63241702BF6D7BD982841"
"37004.4","0101000020BD0B0000803F352E1286334170E7FBC9EF002841"
"37004.4","0101000020BD0B0000C0E3143DBF843341D09AE69D61022841"
"37004.4","0101000020BD0B000048E17A04A78533417034809774022841"
"462555","0101000020BD0B0000B8490C02A826324180976E12B7FC1741"
"112296.0192","0101000020BD0B0000E0E9951244D72F4130FF213D58732141"
"24669.6","0101000020BD0B00000824288E12AF3141401E162AFF781A41"
"24669.6","0101000020BD0B0000A0A223E9ED04304190438BAC71CF2041"
"913000","0101000020BD0B0000F0DBD7614E5D2F41F075E03C1BA12041"
"913000","0101000020BD0B0000404ED11145572F41B003E74C33A02041"
"913000","0101000020BD0B0000B013D00491522F4160423EC8659A2041"
"24669.6","0101000020BD0B00006819E21861FF304160E5D0E279051D41"
"24669.6","0101000020BD0B000070F90F49E579304120F46C16B0BC1F41"
"24669.6","0101000020BD0B0000A8E848DE5984314160B81EC58B4E1C41"
"2343612","0101000020BD0B0000B09465B8910B3041E073B5D571331D41"
"2343612","0101000020BD0B0000B0946568C90D3041201DC965623C1D41"
"2343612","0101000020BD0B0000F8065F18DD0E3041E073B595F4211D41"
"24669.6","0101000020BD0B0000D044D870931C2D4170567DCE24B32041"
"1233.48","0101000020BD0B000088EB5188268F3041E0C9C382C1451B41"
"24669.6","0101000020BD0B0000B069DE31B7C22C414092CBFFE37A2241"
"24669.6","0101000020BD0B0000C05B2021D1342E419031778D095C2041"
"24669.6","0101000020BD0B000090B20C7151092E41E0839ECD776C2041"
"24669.6","0101000020BD0B000000E78CE86FAF3041C017269379411C41"
"24669.6","0101000020BD0B000020A7E838D0AA3141A0D634EF3DFF1A41"
"6784.14","0101000020BD0B00009006F0C677A43141C0A67987ABE01741"
"24669.6","0101000020BD0B0000B069DED1B8C33141C019519A2A771B41"
