"name"
"111 Mile Creek (id:39412) 662 sq.km"
"117 Mile Creek (id:39416) 17 sq.km"
"150 Yard Creek (id:7513) 1 sq.km"
"3 Mile Creek (id:39076) 21 sq.km"
"3 Mile Creek (id:22449) 19 sq.km"
"Aaltanhash River (id:3988) 102 sq.km"
"Abbott Creek (id:8782) 56 sq.km"
"Abbott Creek (id:8779) 17 sq.km"
"Abbott Creek (id:8780) 7 sq.km"
"Abbott Creek (id:8781) 3 sq.km"
"Abco Creek (id:8787) 3 sq.km"
"Abel Creek (id:2985) 15 sq.km"
"Abel Creek (id:8791) 7 sq.km"
"Aberdeen Creek (id:28131) 6 sq.km"
"Abesti Creek (id:19588) 28 sq.km"
"Abethledue Creek (id:19587) 32 sq.km"
"Abies Creek (id:8613) 32 sq.km"
"Abode Creek (id:8795) 2 sq.km"
"Abraham Creek (id:19589) 75 sq.km"
"Abraham Creek (id:5309) 2 sq.km"
"Abrahamson Creek (id:9353) 20 sq.km"
"Abruzzi Creek (id:8798) 26 sq.km"
"Absunstia Creek (id:4929) 1 sq.km"
"Ace Creek (id:36488) 2 sq.km"
"Ackerman Creek (id:8802) 3 sq.km"
"Acme Creek (id:8806) 2 sq.km"
"Aconitum Creek (id:19591) 79 sq.km"
"Acorn Creek (id:8808) 1 sq.km"
"Active Creek (id:8810) 12 sq.km"
"Adam Creek (id:8819) 10 sq.km"
"Adam River (id:28136) 627 sq.km"
"Adams Creek (id:7554) 55 sq.km"
"Adams Creek (id:8821) 14 sq.km"
"Adams Creek (id:8820) 9 sq.km"
"Adams Creek (id:17233) 2 sq.km"
"Adams River (id:39257) 3334 sq.km"
"Adelphi Creek (id:8831) 16 sq.km"
"Adit Creek (id:8833) 1 sq.km"
"Adolph Creek (id:8980) 92 sq.km"
"Adoogacho Creek (id:8982) 120 sq.km"
"Adrenaline Creek (id:7523) 4 sq.km"
"Adrian Creek (id:8985) 38 sq.km"
"Adriana Creek (id:28137) 2 sq.km"
"Adsett Creek (id:8988) 116 sq.km"
"Adsit Creek (id:8987) 32 sq.km"
"Adskwatim Creek (id:7384) 246 sq.km"
"Affleck Creek (id:8997) 14 sq.km"
"Affliction Creek (id:1643) 30 sq.km"
"Agassiz Slough (id:9001) 7 sq.km"
"Agate Creek (id:9004) 7 sq.km"
"Aggie Creek (id:9005) 2 sq.km"
"Agnes Creek (id:38699) 13 sq.km"
"Agnes Creek (id:9006) 4 sq.km"
"Agnes Creek (id:9007) 3 sq.km"
"Agnus Creek (id:9013) 1 sq.km"
"Ah Lock Creek (id:9023) 16 sq.km"
"Ahaminqas Creek (id:9016) 10 sq.km"
"Ahbau Creek (id:9019) 505 sq.km"
"Ahdatay Creek (id:7560) 116 sq.km"
"Ahnuhati River (id:9105) 185 sq.km"
"Ahta River (id:28141) 65 sq.km"
"Aikman Creek (id:2170) 119 sq.km"
"Ailport Creek (id:7565) 97 sq.km"
"Ain River (id:32409) 289 sq.km"
"Ainslie Creek (id:2097) 158 sq.km"
"Aird Creek (id:9119) 5 sq.km"
"Airfield Creek (id:38484) 3 sq.km"
"Airplane Creek (id:38698) 117 sq.km"
"Airplane Creek (id:9121) 19 sq.km"
"Airport Creek (id:37292) 4 sq.km"
"Airy Creek (id:19595) 59 sq.km"
"Aitken Creek (id:9125) 826 sq.km"
"Aitken Creek (id:9123) 149 sq.km"
"Aka Creek (id:9129) 2 sq.km"
"Akamina Creek (id:9128) 66 sq.km"
"Akan Creek (id:9133) 1 sq.km"
"Akanko Creek (id:9132) 3 sq.km"
"Akenside Creek (id:9134) 15 sq.km"
"Akie River (id:19599) 1863 sq.km"
"Akieka Creek (id:39558) 41 sq.km"
"Akimukoo Creek (id:9136) 3 sq.km"
"Akinkoom Creek (id:9135) 2 sq.km"
"Akluky Creek (id:9138) 33 sq.km"
"Akokli Creek (id:9137) 52 sq.km"
"Akolkolex River (id:7567) 390 sq.km"
"Akoo Creek (id:9141) 28 sq.km"
"Akookuk Creek (id:9140) 3 sq.km"
"Akue Creek (id:9142) 624 sq.km"
"Akunam Creek (id:9145) 6 sq.km"
"Akutlak Creek (id:9146) 6 sq.km"
"Alan Creek (id:9149) 30 sq.km"
"Alaric Creek (id:9150) 38 sq.km"
"Albany Creek (id:3995) 17 sq.km"
"Albert Creek (id:9300) 104 sq.km"
"Albert Creek (id:9295) 59 sq.km"
"Albert River (id:9308) 208 sq.km"
"Alberta Creek (id:9296) 1 sq.km"
"Alberts Creek (id:9311) 7 sq.km"
"Alberts Hump Creek (id:39177) 3 sq.km"
"Albrecht Creek (id:9314) 2 sq.km"
