"objectid","cef_disturb_group","cef_disturb_group_rank","cef_disturb_sub_group","cef_disturb_sub_group_rank","source_short_name","cef_extraction_date","cef_human_disturb_flag","area_km2","geom"
"1013","RESULTS_Reserves",11,"RESULTS Reserves",1,"RESULTS","2021-09-16","Natural Landbase","0.0082141800000239","0106000020BD0B0000010000000103000000010000002B000000D0CCCCCC11BA3641C0CCCCCCB20C1D41303333B308BA364100000000B20C1D4198999999FFB93641A0999999B30C1D4198999919F9B9364160666666C40C1D41303333B3F2B9364140333333D50C1D4130333333ECB9364160666666E60C1D41D0CCCCCCE4B93641C0CCCCCC000D1D4168666666DDB9364140333333190D1D4100000000D6B93641A0999999330D1D4198999999CEB93641000000004C0D1D4130333333C7B93641C0CCCCCC660D1D41D0CCCCCCBFB93641403333337F0D1D4168666666B8B93641A0999999990D1D4198999919B6B93641C0CCCCCCC00D1D41303333B3B3B9364100000000E80D1D41303333B3B3B93641000000000E0E1D41303333B3B3B9364160666666340E1D41303333B3B3B9364160666666580E1D41303333B3B3B93641C0CCCCCC7E0E1D41303333B3B3B9364140333333A50E1D4100000000B8B9364140333333BB0E1D4168666666BCB93641A0999999CF0E1D41D0CCCCCCC6B93641C0CCCCCCDC0E1D4130333333D1B9364160666666EA0E1D41686666E6D9B9364160666666D40E1D4198999999E2B93641C0CCCCCCBC0E1D4130333333E9B93641A0999999A10E1D41303333B3EFB93641C0CCCCCC860E1D41D0CCCC4CF6B93641000000006C0E1D4100000080F8B93641C0CCCCCC460E1D41D0CCCCCCFAB93641A0999999230E1D41686666E6FBB9364100000000FC0D1D4198999919FDB9364160666666D40D1D4130333333FEB9364160666666AC0D1D41D0CCCC4CFFB93641C0CCCCCC860D1D416866666604BA3641403333337F0D1D413033333309BA3641A09999995B0D1D41686666E60DBA3641A0999999370D1D419899999912BA3641A0999999150D1D416866666617BA364100000000F20C1D41303333331CBA364100000000CE0C1D41D0CCCCCC1ABA364140333333B30C1D41D0CCCCCC11BA3641C0CCCCCCB20C1D41"
"1014","RESULTS_Reserves",11,"RESULTS Reserves",1,"RESULTS","2021-09-16","Natural Landbase","0.000540809999999367","0106000020BD0B00000100000001030000000100000008000000686666667518384160666666DE0E1D41686666E66B18384100000000660E1D41989999995E183841000000007A0E1D41686666665B183841403333337D0E1D41686666E65E18384100000000BA0E1D413033333367183841C0CCCCCCEC0E1D41D0CCCC4C6D183841C0CCCCCCEA0E1D41686666667518384160666666DE0E1D41"
"1015","RESULTS_Reserves",11,"RESULTS Reserves",1,"RESULTS","2021-09-16","Natural Landbase","0.000373590000019632","0106000020BD0B0000010000000103000000010000000A000000686666E655183841C0CCCCCCF20E1D41989999194F183841000000008A0E1D41686666E64D183841A09999998B0E1D41303333B34C183841C0CCCCCC8C0E1D419899999949183841C0CCCCCC9C0E1D413033333348183841C0CCCCCCB60E1D41686666E63C18384160666666E80E1D41000000003E183841C0CCCCCCFA0E1D41686666E64318384140333333F90E1D41686666E655183841C0CCCCCCF20E1D41"
"1016","RESULTS_Reserves",11,"RESULTS Reserves",1,"RESULTS","2021-09-16","Natural Landbase","0.00143490000001006","0106000020BD0B00000100000001030000000100000023000000686666E6A0413741A0999999390E1D41303333339E41374140333333430E1D41686666669B41374160666666480E1D410000008097413741606666664E0E1D41D0CCCCCC92413741403333334F0E1D41D0CCCC4C9241374160666666500E1D41686666669141374160666666520E1D41303333339041374140333333550E1D41D0CCCC4C8E413741A0999999590E1D41D0CCCC4C8D413741000000005C0E1D41303333338C413741403333335F0E1D41D0CCCC4C8A413741C0CCCCCC6A0E1D419899999989413741606666667C0E1D41303333B384413741A09999999B0E1D41000000008241374100000000B00E1D410000000080413741C0CCCCCCBE0E1D41D0CCCC4C8041374160666666D00E1D41989999997E413741C0CCCCCCE60E1D41000000807F413741A0999999F90E1D41989999197F41374140333333110F1D41989999197F413741C0CCCCCC140F1D410000008090413741A09999990F0F1D41D0CCCCCC9741374100000000060F1D41989999999D41374140333333ED0E1D41686666669E413741A0999999E90E1D41303333B3A5413741C0CCCCCCA40E1D41D0CCCC4CA541374160666666A20E1D4168666666A541374100000000800E1D41686666E6A4413741C0CCCCCC780E1D41D0CCCC4CA3413741C0CCCCCC640E1D4130333333A241374100000000580E1D4168666666A1413741000000004A0E1D4198999919A141374140333333410E1D4100000000A1413741606666663E0E1D41686666E6A0413741A0999999390E1D41"
"1017","RESULTS_Reserves",11,"RESULTS Reserves",1,"RESULTS","2021-09-16","Natural Landbase","0.0105191449999406","0106000020BD0B00000100000001030000000100000039000000686666E6BF16384100000000580C1D4100000000B016384160666666540C1D4168666666A9163841000000004E0C1D41303333339B16384100000000400C1D41000000809A16384160666666400C1D4100000080A116384160666666F60C1D4100000080AC163841A0999999170E1D41686666E6AC163841A0999999230E1D4100000080BE16384140333333750E1D4130333333C116384100000000980E1D41D0CCCC4CC316384140333333B30E1D4198999999B116384140333333C90E1D4100000000B116384100000000CA0E1D4130333333AF163841C0CCCCCC960E1D41686666E6AE16384160666666940E1D4130333333A3163841000000002C0E1D41686666E692163841A09999999D0D1D41D0CCCC4C90163841C0CCCCCC160D1D41989999998F16384140333333F30C1D41303333B39A16384160666666D40C1D41303333339116384140333333770C1D41D0CCCCCC9316384140333333430C1D41000000808B16384140333333470C1D41D0CCCC4C7316384100000000A00C1D410000008069163841C0CCCCCCCA0C1D41989999196816384140333333E50C1D416866666666163841A0999999030D1D41D0CCCC4C6816384160666666320D1D410000000069163841A0999999410D1D41303333B372163841C0CCCCCC7E0D1D41303333B37D16384100000000FC0D1D41D0CCCCCC8B163841A09999993D0E1D41D0CCCC4C9116384160666666700E1D41D0CCCC4C9716384160666666A80E1D41303333B39616384100000000F80E1D419899999990163841403333331F0F1D41989999199016384160666666220F1D41989999999116384160666666200F1D41D0CCCCCC9516384100000000100F1D4130333333A116384140333333E50E1D41D0CCCCCCA116384140333333E30E1D41D0CCCC4CA2163841A0999999E10E1D41D0CCCCCCA216384100000000E00E1D4100000080A316384140333333DF0E1D4198999919A416384100000000DE0E1D41303333B3A416384140333333DD0E1D4168666666B216384160666666CA0E1D4168666666BC163841A0999999BD0E1D4100000080BD163841C0CCCCCCBC0E1D4198999999BE16384100000000BC0E1D41D0CCCC4CC916384160666666BA0E1D4198999919CA16384100000000980E1D41303333B3CA163841403333337F0E1D4168666666D616384160666666100E1D4130333333D516384140333333F90D1D4168666666C4163841A0999999AF0C1D41686666E6BF16384100000000580C1D41"
"1018","RESULTS_Reserves",11,"RESULTS Reserves",1,"RESULTS","2021-09-16","Natural Landbase","0.000101220000000503","0106000020BD0B00000100000001030000000100000006000000686666E678183841403333330B0F1D41D0CCCCCC76183841A0999999EF0E1D41686666666E18384160666666FC0E1D41000000006A18384100000000FE0E1D410000000070183841C0CCCCCC220F1D41686666E678183841403333330B0F1D41"
"1019","RESULTS_Reserves",11,"RESULTS Reserves",1,"RESULTS","2021-09-16","Natural Landbase","0.000141344999996964","0106000020BD0B000001000000010300000001000000050000009899991931173841C0CCCCCCF00E1D41303333332D173841C0CCCCCCC20E1D41686666E625173841C0CCCCCCEE0E1D419899991921173841A0999999250F1D419899991931173841C0CCCCCCF00E1D41"
"1020","RESULTS_Reserves",11,"RESULTS Reserves",1,"RESULTS","2021-09-16","Natural Landbase","0.00660492999999326","0106000020BD0B00000100000001030000000100000018000000686666E66017384100000000C80C1D41303333B35D17384100000000B80C1D41000000005A17384140333333A50C1D41989999193C173841000000007E0C1D419899991938173841C0CCCCCC6E0C1D41989999193117384100000000B80C1D41686666E62917384100000000040D1D41000000000A173841A0999999DD0D1D419899999907173841A0999999070E1D41303333330617384100000000200E1D4130333333FF163841000000009C0E1D4198999999FE16384100000000A00E1D4130333333FE163841C0CCCCCCA40E1D41D0CCCCCCFA16384160666666CE0E1D4168666666F7163841C0CCCCCCF80E1D4100000000FE16384100000000100F1D41D0CCCC4C0717384100000000300F1D41989999990A17384100000000100F1D41303333330F17384140333333E10E1D41000000001C173841A0999999950E1D41D0CCCC4C2C17384100000000360E1D41303333335317384160666666500D1D41000000805717384100000000060D1D41686666E66017384100000000C80C1D41"
"1021","RESULTS_Reserves",11,"RESULTS Reserves",1,"RESULTS","2021-09-16","Natural Landbase","0.00458541500013381","0106000020BD0B0000010000000103000000010000000E000000989999199B173841A09999995F0C1D416866666689173841C0CCCCCC620C1D41303333337117384100000000B80C1D41989999996917384160666666D20C1D410000008070173841A0999999F70C1D41303333336A17384160666666520D1D419899999940173841A09999994D0E1D41D0CCCC4C30173841A0999999AF0E1D41303333B33517384160666666EE0E1D41D0CCCCCC3B173841C0CCCCCC140F1D41303333B345173841A0999999530F1D41686666664717384140333333110F1D41686666669017384100000000B80C1D41989999199B173841A09999995F0C1D41"
"1022","RESULTS_Reserves",11,"RESULTS Reserves",1,"RESULTS","2021-09-16","Natural Landbase","0.000171349999995995","0106000020BD0B00000100000001030000000100000006000000000000802918384160666666180F1D41000000802318384140333333170F1D410000008018183841C0CCCCCC260F1D41686666E62A183841403333335F0F1D41989999192A183841000000001A0F1D41000000802918384160666666180F1D41"
