"row.names","station_number","area_km2","wetland_sum_perc","lake_sum_perc","glacier_sum_perc","mat","map","dem_p025","dem_p050","dem_p075","station_cluster"
"1","07EA004","4142.53","0.428062520257583","0.689942970324955","0.0157662823774496","-0.993333345154921","740.5","1326.75","1562.5","1637.75","1"
"2","07EA005","15648.9","1.23095258640149","1.35028563519836","0.721567922865131","-0.670000004023314","731.3","1252.5","1497","1621.75","2"
"3","07EA007","1684.9","0.112844114051048","0.024805152527801","1.67520093940612","-0.946666653951009","785.766666666667","1493.5","1700.5","1735","3"
"4","07EB002","2090.9","0.110222832528191","0.0854548814511905","0","-0.633333347986142","776.1","1351","1509","1659","4"
"5","07EC002","5362.15","1.26659220075747","0.829783791363462","0.104485363552378","0.393333331743876","689.833333333333","1084","1224","1366.25","5"
"6","07ED003","6781.05","2.76033406556257","3.36192338300638","0","1.00666665931543","722.133333333333","961","1140.5","1312","6"
"7","07EE007","4902.6","2.30195689590582","0.664098872786233","0.228482160316801","1.80333332891266","1011.26666666667","927","1067","1356.25","7"
"8","07EE009","316.301","4.08719318576837","0.694394593632017","0","2.42000000079473","935.333333333333","931","979","1028.75","8"
"9","07EE010","3708.51","3.60589864694337","4.78113561195164","0","2.77333333492279","748.466666666667","787","878.5","961.75","9"
"10","07EF004","736.299","0.190360596091402","0.183917385596325","0","0.616666663189729","1181.46666666667","1221.25","1284.5","1476.75","10"
"11","07FA003","3764.65","2.28463002382271","0.0614438135514198","0.0567623262502651","0.470000000546376","683.566666666667","1163.25","1339","1442.5","11"
"12","07FA005","2138.53","1.24026881669495","0.13905329735271","0","0.300000012417634","708.6","1225","1345.5","1582.75","12"
"13","07FA006","9287.63","2.24785578678374","0.0744346325420686","0.0230080538865201","0.506666675955057","687.533333333333","926.25","1303","1467.5","13"
"14","07FB001","12136.3","1.04740581362761","0.398105834357103","0.203113352796285","1.29666665941477","786.9","978.25","1098","1219.5","14"
"15","07FB002","5548.66","1.09763732254761","0.658158632464577","0.424011976086225","1.64000000432134","684.1","996","1070","1252","15"
"16","07FB003","2587.77","0.463047567111413","0.194199028164561","0.0434143267411552","1.30333333387971","833.766666666667","1097.25","1243","1363.75","16"
"17","07FB004","85.311","0","0","0","1.71666666219632","654.533333333333","899","1045","1234.25","17"
"18","07FB006","2385.86","1.51798706778192","0.842608550182517","0.986100731489103","0.776666664083799","1014.43333333333","1202.5","1417.5","1579","18"
"19","07FB008","1516.05","1.95571952129043","2.3920471412481","0","1.92333331108093","671.733333333333","747","851.5","1103.25","19"
"20","07FB009","480.153","2.25519495427496","0.259126463170339","0","1.58666665554047","695.266666666667","1050.5","1103.5","1233","20"
