"fire_year","fire_number","area_m2","geom"
1917,"29a","3687044.38119547","0106000020BD0B000001000000010300000001000000360000001058399499BE3541CBA145B623BB2B411283C00AD0BE35413108ACDC33BB2B413F355EFA9CC03541E17A14AED8BA2B413108AC3C4AC2354117D9CEF753BB2B418FC2F56835C33541DD24064175BB2B414C3789410AC53541A01A2F1D9CBB2B41643BDF0F68C53541560E2DF2C1BB2B416F128320AFC53541C3F5289CDEBB2B414C37892120C635418B6CE7BB17BC2B410E2DB23D47C63541A01A2F1D3BBD2B417F6ABC143FC635417F6ABCB41FBF2B4123DBF95EF4C53541D578E9261CC02B41C1CAA14529C53541B29DEF278AC02B412506819589C4354123DBF9FEC8C02B41D34D6250DBC33541B6F3FD54A0C02B413789414010C3354117D9CEF756C02B416ABC74D3DBC13541355EBA491FC02B417D3F353E5BC0354179E926F110C02B41E3A59B8479BF35416DE7FBE9D5BF2B416DE7FB49CABE35418195434B48BF2B413F355E7A51BD35411D5A643B8DBE2B416891ED7C53BC3541B0726851E8BD2B41250681B504BB3541BA490C0211BE2B412DB29D2F7ABA3541F4FDD4F825BE2B41BE9F1A0F52BA35412731086C0CBE2B414260E53015BA354148E17AD413BE2B41BC749378DAB83541DBF97EAAEDBD2B4108AC1C9A5BB7354185EB51B8C3BC2B41D7A3709D3EB635417F6ABCF46BBC2B41355EBA69A0B535412731086C0FBC2B4196438BCC59B43541B29DEF67D3B92B4166666606C3B335413F355EFA92B82B41DBF97E2A60B335416F12834013B82B415C8FC29515B335419A9999D960B72B41B4C8767EEEB23541F0A7C6CBB4B62B4183C0CA61E9B235418716D94EF3B52B41F4FDD4D805B335418B6CE77B25B52B4160E5D0C252B3354185EB517832B42B41E5D0229B92B33541DBF97E2AABB32B41736891ED99B33541FED4786907B32B41EE7C3FD5AFB335418B6CE7BB13B22B411B2FDD8430B435417368912D6AB12B417D3F35DEFBB435415C8FC2757BB02B416ABC745394B53541E3A59B84E8AF2B41B4C8769E50B63541508D976E4AB02B41E7FBA951FCB63541E17A142EE1B12B41B29DEF476BB73541C3F5289CF6B32B4121B0726848B83541E17A14AE84B62B41DF4F8D372BB93541FED4786993B82B4139B4C89628BA354104560EADC1B92B41D34D62F076BA3541713D0A17E2B92B415EBA49AC96BB3541D122DB793ABA2B41FED4784981BE3541BA490C821CBB2B411058399499BE3541CBA145B623BB2B41"
1918,"3","876990.812625207","0106000020BD0B0000010000000103000000010000002B000000621058B9450136411283C04A6E6E2B41B6F3FD54060136413F355EBADE6D2B41333333B3EF0036413D0AD7A3986D2B415EBA492CE3003641FCA9F1925E6D2B41EE7C3F75E600364106819543186D2B418716D94E36013641E17A146E066C2B41A8C64B97D001364137894120986A2B41A01A2F5DFC01364133333333FE692B411F85EB311D0236414C3789C18A692B417F6ABC3437023641AE47E1FAC4682B41EC51B8BE5D0236419EEFA74639682B4162105899B8023641713D0A17A3672B41448B6C0750033641E92631C8F4662B41894160A5D20336416DE7FBE95B662B41D578E946100536418FC2F5A846642B41378941A0510536415A643B5F2A642B41DD2406417E053641E17A14EE41642B415EBA492CA5053641000000C071642B416DE7FB09E5053641CDCCCC4CF7642B41931804B62A063641BA490C0283652B418195432B730636411904564E14662B41295C8F22A606364191ED7C3F88662B41295C8F62B60636418D976ED2B3662B4110583914BF063641AE47E1FADD662B4114AE4741BC063641B4C8763E1A672B41022B8736B7063641A4703D4A65672B41AE47E15AA2063641B0726891BC672B412DB29D6F89063641105839F408682B41E5D022FB67053641D34D6250CD692B41B4C876DED70436419EEFA706826A2B41643BDF8F22043641F0A7C60B446B2B41C3F528BC72033641713D0AD7F26B2B418716D9CE1A0336414A0C022B6B6C2B41C74B3709DD023641295C8F42DE6C2B4154E3A59BAE02364121B072284F6D2B418195430B76023641CFF753E3F56D2B4121B0720840023641D122DB39A76E2B41DF4F8D971D023641F4FDD4F8FB6E2B41F853E385050236417D3F35DE156F2B41022B87B6D901364196438BAC0D6F2B41B07268B1BA01364104560EADF86E2B41B81E856B86013641F6285C4FC16E2B41621058B9450136411283C04A6E6E2B41"
1918,"367a","692053.025760366","0106000020BD0B0000010000000103000000010000002B0000003BDF4FEDBCF43241CDCCCCCCE9C91C41A245B673A0F43241DBF97E6AC4C91C41C3F528BC03F43241894160E56AC91C4148E17A14C3F332413F355EBA46C91C41B81E850B0EF332414C3789C124C91C41A01A2FDD47F232414C3789C177C91C412DB29D4FDEF1324108AC1C5A78CA1C418716D94E76F132411283C04A9DCB1C416ABC741359F132417593180428CC1C416ABC74D322F132416891EDFC7DCC1C418941608519F13241B4C8763E7CCC1C412B8716B90EF13241CDCCCCCC54CC1C41E5D0225BEEF03241C3F5285CFDCB1C413D0AD7E3D4F03241C3F528DC92CB1C4179E926F1BFF03241AE47E17AC3CA1C4125068175BFF03241FA7E6A3CCFC91C41EC51B87EC3F032413108AC1C76C81C413F355E1AD0F032416DE7FBA998C71C41666666E6E2F03241B0726811E5C61C4117D9CE37FFF03241E7FBA9F15BC61C4179E9263136F13241643BDFCFD7C51C41A8C64B3767F13241E926318815C51C41E3A59BC488F13241C976BE9FEAC31C419CC42090A0F132415EBA498CA9C21C4100000020B3F132414C3789410AC21C41FCA9F1F200F23241295C8F4296C01C41AC1C5AA438F23241FA7E6A3CD5BF1C418716D98EA2F232415839B44809BF1C41F0A7C60B10F332416DE7FBA929BE1C41BA490C4265F3324114AE47E196BD1C412B871679B5F33241022B879691BD1C41C520B0322DF43241FED47869BCBD1C414E62109897F43241D7A370BDE4BD1C41F4FDD478E9F43241333333336EBE1C41B81E852B17F532412731082CC8BE1C41FED4782926F53241FED4786959BF1C4104560EAD34F532414C37894113C01C41D34D62D031F532415A643BDF06C11C41CFF753C323F532413108AC1C5EC21C41BE9F1ACF0EF53241448B6C67C8C31C41E5D022DBE0F43241E3A59B44D9C61C4146B6F39DBDF4324154E3A51BAFC91C413BDF4FEDBCF43241CDCCCCCCE9C91C41"
1918,"398","647224.930978472","0106000020BD0B000001000000010300000001000000400000005A643BDFB9C02F416891ED3CD05A2241666666A618C02F411283C00AE95A2241BE9F1A2F56BF2F4183C0CAE1F85A2241D122DB7988BE2F41355EBA091A5B2241D34D629089BD2F419A999919DB5A2241560E2D72DDBC2F41AE47E1BAD95A2241E3A59B0421BC2F41AE47E1BAAC5A22417B14AE87EABB2F411283C0CA295A2241D122DBF9C9BB2F4148E17AD4C959224104560E6DE6BB2F413BDF4F0D73592241B29DEF2719BC2F41000000C013592241CFF753E34BBC2F41C520B072B45822417F6ABC74CBBC2F413108ACDCC6582241E926310888BD2F4139B4C876E258224148E17A5444BE2F41EC51B8DE205922419CC4203054BF2F41894160253D5922411D5A64BB42C02F41FED47829595922418195430B48C12F41068195C32F592241A245B6B33CC22F416891ED3C0659224100000040E9C22F41508D976ED35822418D976E1285C32F41E7FBA931A9582241BA490C8215C42F414A0C02ABA1582241BA490C0269C42F4123DBF93E885822418195430BA3C52F4121B072A863582241105839F4B8C62F4183C0CA21435822413D0AD7E3B2C72F418B6CE77B3C5822413108AC9C16C92F41DBF97EEA1358224154E3A5DBF4C92F4177BE9F5A045822413108AC1CBDCA2F41986E1283DA5722416210583905CC2F41713D0A57A057224183C0CA21F4CC2F41BE9F1AEF905722413108AC5C6ECD2F414C37894189572241C74B370981CE2F41F6285C4FA1572241E5D022DB48CF2F4179E926B1AB572241CBA145764DD02F41AC1C5A64D957224191ED7CFFBBD02F413F355E3A17582241713D0A57F8D02F41B4C876BE6E582241A4703D0A08D12F411D5A64FBDF582241BC749358FCD02F41FA7E6A7C255922415839B488BED02F4117D9CEF77B592241643BDF4F81D02F419A9999D98C592241A01A2F1DD5CF2F412B87161994592241B81E852B34CF2F41A4703D0A8A5922411904568E5BCE2F41B81E85EB90592241F0A7C64B99CD2F41713D0A978659224183C0CA21F8CC2F41AC1C5AA4965922410E2DB29D7DCC2F41EC51B81EC15922413108ACDCE1CB2F415A643B9FE2592241D7A370BD35CB2F410AD7A330E15922416F1283400FCA2F41BC7493D8F85922416DE7FBE962C92F4152B81E85115A22419318045695C82F41F4FDD438215A22418FC2F5685EC72F41FED478A91E5A2241BA490C029CC62F41759318C4255A22411D5A647B27C62F413108AC1C1C5A2241A8C64B77D9C52F412FDD24463E5A2241FCA9F11291C52F415839B4C8575A224121B0726859C52F41AE47E1BA685A22415C8FC2B516C52F4160E5D0E2705A22416F12830070C42F41736891ED805A2241AE47E17A89C32F4177BE9F1A8C5A2241C520B0B2A5C22F41B29DEFA79B5A22411904560ED8C12F414E621018B45A22415A643BDFB9C02F416891ED3CD05A2241"
1919,"1","418278.429631025","0106000020BD0B00000100000001030000000100000014000000713D0A57DC053441894160251815254160E5D002AC0534411F85EB9181152541D578E9E64E053441000000004615254166666646F8043441A245B673DB142541295C8FA2AA0434418D976E92F2132541B6F3FDB4A00434411D5A64FB51132541D34D6230B40434417F6ABCB425122541B29DEF27CE043441C520B072CA102541D7A3707DFF0434410C022B47411025411F85EB314A05344117D9CEB74A1025417B14AEA75206344117D9CE375C102541B81E856B8D073441508D972E64102541FCA9F1D29C083441D122DB39D6102541736891CD8708344177BE9F1A32122541CFF753834608344177BE9F1AD91225416ABC7413360734413D0AD72326132541A8C64BD77906344110583974EE122541F0A7C60B3F063441FA7E6A7C66132541AC1C5A241A0634413D0AD7E340142541713D0A57DC0534418941602518152541"
1919,"1","1776136.00759657","0106000020BD0B0000010000000103000000010000005700000014AE4761826B2B41C74B3789EE6C3141986E12C31F6C2B41C1CAA1A5FD6C3141CDCCCC4CEA6C2B41B4C8769E1A6D3141B6F3FD540D6E2B41295C8F62316D3141B29DEFE73B6F2B4104560EED2B6D314117D9CEB78D6F2B416ABC74732A6D3141FA7E6A3CC7702B4104560EED266D31414E6210D82F722B414A0C02AB1D6D3141E3A59B4405732B411F85EBB1256D31413108AC9C71732B41C74B37294E6D3141273108AC70742B41643BDFEF5A6D3141931804964F762B41A69BC460506D314146B6F3FD29772B41F853E385436D314121B072E89E772B41931804F6226D31416F1283003D782B41E5D022BBFC6C31415EBA498C5C792B41F6285C6FC56C3141819543CB427A2B41EE7C3F75B86C3141AE47E13AD17A2B412731084CC16C314133333373557B2B4185EB51B8EE6C3141A8C64BF7697B2B4160E5D0022D6D3141105839745E7B2B41190456CEB96D31412731082C507B2B413108AC1C086E31418FC2F5A8417B2B41CBA14536516E31418716D9CE4A7B2B4196438B0C9A6E3141A69BC4E0517B2B4152B81E05B46E31417F6ABC347F7B2B415C8FC2150C6F314121B072E87A7B2B4108AC1C9A306F31416DE7FBE9407B2B418195434B4B6F3141CBA145F6E77A2B41560E2D12476F3141E7FBA931417A2B415A643BDF2E6F3141D7A370BD94792B41C520B0F21B6F3141D34D6210AE782B41986E12831E6F3141C74B374933772B4152B81E851D6F3141A4703D4AE8752B412731086C266F3141BC7493D8CC742B41BA490C02346F3141B4C8763EA0732B410AD7A3D04E6F31415EBA49CCFB722B41B6F3FDB46A6F3141C74B37095D722B416ABC7453816F31413F355EBA4C712B412731082C7F6F3141FA7E6A7C13702B41D578E9E6876F3141AAF1D24D0E6F2B416F128300766F31410AD7A3B05B6E2B4139B4C8F65D6F314110583934C16D2B416ABC7413506F3141D7A3703D196D2B415A643BDF1D6F3141CFF753E3356C2B414C378921E76E31413F355E7A276B2B418FC2F5688C6E314125068115146A2B41713D0A97466E31414A0C02EBCB682B411283C0CA0B6E3141E9263108A2672B41C74B3749E06D3141CFF7532378662B415839B4C8B46D3141D9CEF7938A652B41666666A6A26D31410AD7A3707F642B41E5D022DB906D314108AC1C5A5D632B41250681F58E6D3141E5D0225B39622B4121B07268636D3141D7A370FD7A612B41E3A59B244E6D3141022B879681602B41C74B37293C6D3141DBF97EEAAB5F2B411D5A64FB2E6D3141F6285C0F8A5E2B41643BDF4F326D3141CFF753A3D75D2B412FDD24861F6D3141F2D24D62195D2B41C976BEDF0C6D31415EBA494CB95C2B41BC7493B8EE6C3141A245B6B3125C2B4104560ECDDB6C31415839B408CA5B2B418195432BB86C31413108AC9CA85B2B411F85EB31656C3141E92631C8C75B2B41E17A140E076C31413D0AD7E30B5C2B41000000C0C76B3141666666668B5C2B4185EB51F88C6B3141F4FDD4F8A05D2B4177BE9F5A7F6B3141C520B0F2755E2B417B14AEE77C6B31413108AC9C3A5F2B417B14AEE7996B3141EE7C3F7547602B41DD240621D06B3141AAF1D2CD30612B41068195C3066C3141E7FBA9B1F5612B4177BE9FFA286C31414260E5108A622B416ABC74B3316C314191ED7C3F07632B41C3F5281C456C3141355EBA49D2632B4185EB51786C6C3141643BDFCF96642B4183C0CAE1866C314117D9CE7749652B411B2FDDE49E6C3141E926318825662B41643BDF6FB66C3141022B8756DE662B4117D9CE97D36C31416891EDFC90672B413108AC9CEB6C314160E5D06236682B41C1CAA185E46C3141FCA9F1D2EC682B413108AC9CCD6C3141AE47E17AB5692B41DBF97EEAC06C31419A9999196D6A2B41B81E850BC46C31416891ED7CFC6A2B41508D97AEE16C314114AE4761826B2B41C74B3789EE6C3141"
1919,"10","1005611.54339478","0106000020BD0B00000100000001030000000100000042000000C520B09279043841A8C64B379D432241A69BC4807D043841022B8716CA42224123DBF93E8704384110583934584222414A0C026BA70438419CC42070EB412241E9263108CF043841A8C64B778A412241D122DB99FA0438411283C08A3941224121B07208250538413BDF4F8DFC4022418195438B42053841448B6CE7DA4022411283C0AA5F0538416F128380DC4022418D976EF28305384183C0CAE1EE402241C1CAA1A5B60538413BDF4F8D04412241EE7C3FB514063841931804D605412241E17A146E610638410E2DB21DFE402241B29DEF679606384104560EEDEB40224166666666D1063841C520B072FE402241C3F5281CF50638415EBA49CC1A412241295C8F22100738413BDF4F8D5D41224191ED7C3F26073841F4FDD478BD41224179E9265133073841AE47E13A114222410E2DB2BD35073841EE7C3F7558422241CDCCCC4C2F0738418716D9CEAC42224104560E6D1F07384146B6F33D1843224123DBF91E10073841CBA145B67943224148E17AF40107384123DBF93EC7432241E17A148EFA063841643BDFCF48442241D7A3707DF90638411283C04A94442241D578E966FF06384152B81E45D744224160E5D002000738416DE7FBA95A45224100000020FF0638417368916DBF45224104560E4DF606384121B072E8594622412DB29D2FEF063841D7A3707DD646224185EB5158E0063841BA490C424C47224185EB5138D1063841295C8F02C7472241F6285C8FCC063841BA490C0235482241759318A4CA0638410AD7A3708F482241BC7493B8C8063841EC51B8DEE9482241C3F528BCBA0638410AD7A3B050492241D9CEF7F3AF063841D7A3703DB84922417F6ABC74AF063841DD2406C1F94922411283C0AAB0063841EC51B85E1D4A22416891ED7CB10638418B6CE73B644A2241DF4F8D97A80638414A0C022BC74A224185EB51B89806384177BE9F9A324B2241C74B37A980063841E17A14EE824B2241BA490C625F063841F6285CCFAD4B22411B2FDD2428063841EC51B8DEE74B2241DD240601E9053841250681D5014C22418B6CE77B08053841A01A2F9DD34B224191ED7C9F420438414E621098B54B2241E926312804043841022B8756A74B22410AD7A3D0B30338418B6CE73B444B2241A245B6F37D0338410C022B07D84A22415EBA490C5E0338413D0AD7A35C4A22418941602553033841C74B3749FF49224166666646530338417F6ABC348B492241BC7493185A03384177BE9F9A13492241FCA9F15267033841A8C64B779D4822418195438B9F0338413108AC5CE0472241508D972EE6033841CDCCCC8C26472241068195032B043841B29DEFE7A84622418941606556043841560E2DB23E462241105839B463043841E5D0221B00462241CFF753E36A0438411F85EB11BB452241508D97AE6D043841378941E0FB44224152B81E65730438418941606542442241C520B09279043841A8C64B379D432241"
1919,"100","305258.419524513","0106000020BD0B0000010000000103000000010000001D000000F853E325CC763741A01A2F5D34441D41F0A7C68BCA763741D7A370BD6D451D41355EBA69CA7637418FC2F5A8CB461D413F355E5AD876374185EB5138AC471D413108AC5CCD763741A01A2F5D82481D415839B4689C7637410C022B875E491D413BDF4F4D6F763741C3F5285C314A1D41FA7E6A5C5D7637412B8716D9874B1D419EEFA76635763741CFF75363A94C1D4139B4C85609763741F0A7C64B0F4D1D410E2DB21D95753741295C8F42364D1D41FCA9F1D260753741BE9F1AAFF44C1D4196438B6C16753741759318843C4C1D41E3A59BE4DF743741105839B4814B1D4133333313D6743741000000008D4A1D413D0AD7C3EB74374175931884EB481D4139B4C8B618753741B0726891C5461D41894160A52D7537411058393486451D41355EBAC96175374104560EAD74441D41560E2DB290753741355EBAC9D2421D412B87167998753741508D97EE74421D41BC749358A87537415A643B5FB5411D411904564EE8753741C74B37097D401D413F355E9A367637418716D94E8C3F1D41FED4788967763741508D97EE7F3F1D413BDF4FED987637415EBA490CEC3F1D413D0AD7E3BF76374104560EAD18411D416891ED9CCD7637410000008015431D41F853E325CC763741A01A2F5D34441D41"
1919,"109","556818.538625896","0106000020BD0B0000010000000103000000010000001100000023DBF93EB6A03A413789416060B91E41508D97EE4DA13A415839B44836BC1E414C3789E171A13A41AAF1D2CD37BF1E41F6285C8F66A13A41713D0AD7ECC01E418D976E32D3A03A414C3789C183C31E41931804D62DA03A411B2FDD241DC41E41713D0A976D9F3A41F2D24D62ADC31E412B871659A39E3A41A4703D0A5AC21E4110583914279E3A4148E17A94FCC01E419A9999F9D79D3A41FA7E6ABC2EBF1E41A01A2F5DD39D3A4123DBF9FE38BD1E41F4FDD4B8189E3A411B2FDD24ACBA1E4133333353909E3A41355EBA491AB91E415839B4A8389F3A41AC1C5A642FB81E418D976ED2B39F3A41CFF753E3B4B71E411283C08A7AA03A41A245B6F3F0B71E4123DBF93EB6A03A413789416060B91E41"
1919,"11","676084.783297051","0106000020BD0B0000010000000103000000010000001A000000D7A3705D5D8634418B6CE7BB8DD62541F0A7C60B2E863441F6285C4F47D6254179E926B1ED853441C1CAA1C5AED5254139B4C816D6853441B0726811FCD42541A01A2F1DE0853441D122DB79DED32541B6F3FD14EA8534413789416050D325418FC2F52826863441EC51B85EB9D225411B2FDD2451863441D7A370BD5FD225411D5A64FBB58634418D976E92AED12541A69BC4C014873441E7FBA9711CD12541D122DB59568734412FDD244676D02541AAF1D22DB6873441FED478E953D02541F853E345298834417F6ABC3444D025413F355EDA9688344104560EAD43D0254191ED7C5F50893441DD240681ADD02541B81E854BB2893441E17A14AE6AD1254106819543E48934412FDD24C680D225417F6ABCB4EF893441AAF1D28D71D32541A4703D2AE5893441759318840FD425414260E530AA893441E3A59BC486D4254177BE9F5A6689344160E5D0626CD52541C1CAA185D08834419CC420B006D62541A245B6136A88344179E926F157D62541FED47809BC87344121B072E8DED62541AC1C5A84DC863441508D976ECFD62541D7A3705D5D8634418B6CE7BB8DD62541"
