"speed_limit","total_number_of_lanes","transport_line_type_code_desc","transport_line_surface_code_desc","transport_line_divided_code_desc","geom"
30,2,"Road local","overgrown","None","01050000A0BD0B0000010000000102000080020000009CB0225E5CA832416942D9DF748C1C410000000000000000687DEF2AC3A73241E22B0091D88F1C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B000001000000010200008002000000B80A87999FA73241CC523199AF901C4100000000000000001E71ED7F66A73241CC523199FB911C410000000000000000"
50,2,"Road collector minor","paved","None","01050000A0BD0B00000100000001020000800200000092D97E4DAEA73241BD257FFB838A1C410000000000000000EC3DBA4C7CA73241FF8564CCA28B1C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B000001000000010200008002000000261D0A1AF8A73241B9CF70CEE0881C41000000000000000092D97E4DAEA73241BD257FFB838A1C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B00000100000001020000800200000092D97ECD24A83241559491FEE1871C410000000000000000261D0A1AF8A73241B9CF70CEE0881C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B00000100000001020000800200000046A2F5CB9EA63241B7A4E93781871C410000000000000000DCE5809881A63241559491FE31871C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B000001000000010200008002000000126FC218DCA6324165ECCA322F881C41000000000000000046A2F5CB9EA63241B7A4E93781871C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B0000010000000102000080020000005A503D4D3CA732419A4A85FC3F891C410000000000000000126FC218DCA6324165ECCA322F881C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B00000100000001020000800200000092D97E4DAEA73241BD257FFB838A1C4100000000000000005A503D4D3CA732419A4A85FC3F891C410000000000000000"
50,2,"Road collector minor","paved","None","01050000A0BD0B0000010000000102000080020000009CB0225E5CA832416942D9DF748C1C41000000000000000092D97E4DAEA73241BD257FFB838A1C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B0000010000000102000080020000001E71EDFFE6AB3241FF8564CC54961C410000000000000000B80A8799C3AB324132B997FFF1951C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B000001000000010200008002000000EC3DBA4C7CA73241FF8564CCA28B1C410000000000000000EC3DBA4C09A7324132B997FF638A1C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B0000010000000102000080020000005A503D4D3CA732419A4A85FC3F891C410000000000000000EC3DBA4C09A7324132B997FF638A1C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B000001000000010200008002000000B4B4784C59A73241A977379A99881C4100000000000000005A503D4D3CA732419A4A85FC3F891C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B000001000000010200008002000000261D0A1A84A73241BD257FFBA5871C410000000000000000B4B4784C59A73241A977379A99881C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B000001000000010200008002000000B05E6A7FB2A7324157BF18959B861C410000000000000000261D0A1A84A73241BD257FFBA5871C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B000001000000010200008002000000261D0A1A84A73241BD257FFBA5871C410000000000000000126FC298C8A63241ADCD45C79C851C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B0000010000000102000080020000001E71ED7FF7A63241CC52319991841C410000000000000000126FC298C8A63241ADCD45C79C851C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B000001000000010200008002000000126FC298C8A63241ADCD45C79C851C4100000000000000007E2B374C9EA632414211D1338F861C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B0000010000000102000080020000007E2B374C9EA632414211D1338F861C410000000000000000DCE5809881A63241559491FE31871C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B000001000000010200008002000000B4B4784C59A73241A977379A99881C4100000000000000007E2B374C9EA632414211D1338F861C410000000000000000"
30,2,"Road local","paved","None","01050000A0BD0B000001000000010200008002000000126FC218DCA6324165ECCA322F881C410000000000000000B80A879918A6324132B997FF458C1C410000000000000000"
30,2,"Road local","paved","None","01050000A0BD0B000001000000010200008002000000B80A879918A6324132B997FF458C1C410000000000000000B80A8719FCA5324132B997FFDD8C1C410000000000000000"
30,2,"Road local","paved","None","01050000A0BD0B00000100000001020000800200000046A2F5CB9EA63241B7A4E93781871C410000000000000000B80A8719DDA53241CC523199A18B1C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B000001000000010200008002000000B80A8799FAA7324132B997FF83911C410000000000000000F093C819B4A73241ADCD45C71E931C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B0000010000000102000080030000001E71ED7F59AB3241CC523199E59A1C4100000000000000003EF6D871CEAA3241F804CF08FC9D1C410000000000000000B05E6A7F67AA32414211D13345A01C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B00000100000001020000800200000092D97ECD1CAA3241FF8564CCB2991C41000000000000000092D97E4DE6A9324134E41E96E59A1C410000000000000000"
30,2,"Road local","paved","None","01050000A0BD0B00000100000001020000800200000092D97ECD60AA324196F476CF30981C41000000000000000092D97ECD1CAA3241FF8564CCB2991C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B000001000000010200008002000000B80A8799B5AA3241FF8564CC1C991C410000000000000000B4B4784CC2A932412036D734879E1C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B000001000000010200008002000000EC3DBACC84A93241CC523199CD951C410000000000000000F093C81928A932414211D133E1971C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B00000100000001020000800200000046A2F54BE5A93241CA27AA02A6931C410000000000000000EC3DBACC84A93241CC523199CD951C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B00000100000001020000800200000092D97E4DD8AA3241A74CB00314911C410000000000000000B4B478CC95AA3241BD257FFB91921C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B00000100000001020000800200000092D97E4D8AAA3241ADCD45C7F88F1C410000000000000000261D0A9A40AA324111092597A3911C410000000000000000"
30,2,"Road local","paved","None","01050000A0BD0B000001000000010200008003000000EC3DBACC3BAA3241FF8564CC548D1C4100000000000000001E71ED7F1FAA324165ECCA32D98D1C410000000000000000EC3DBA4CB6A9324132B997FF3F901C410000000000000000"
50,2,"Road local","paved","None","01050000A0BD0B000001000000010200008002000000B05E6AFFD1A932418471B604B88C1C41000000000000000022C7FB4C5FA93241ABA2BE304B8F1C410000000000000000"
50,2,"Road collector minor","paved","None","01050000A0BD0B000001000000010200008003000000126FC218FDAB324174197DD0AE9C1C410000000000000000209C7496E5AB3241BF5006926E9C1C410000000000000000B80A8719B6AB3241FF8564CCEC9B1C410000000000000000"
30,2,"Road collector minor","paved","None","01050000A0BD0B000001000000010200008003000000B80A8719B6AB3241FF8564CCEC9B1C4100000000000000006427E19D8AAB3241FD5ADD35719B1C4100000000000000001E71ED7F59AB3241CC523199E59A1C410000000000000000"
30,2,"Road collector major","paved","None","01050000A0BD0B000001000000010200008002000000B80A8799B5AA3241FF8564CC1C991C41000000000000000092D97ECD60AA324196F476CF30981C410000000000000000"
