"stationnum","name","status","Etat","ProvTerr","HYDAT_ver","OBJECTID","geom"
"07BF006","WINAGAMI LAKE AT PROVINCIAL PARK","active","en service","AB","2021-01",NULL,"0101000020E61000004C401361C32B5DC010EBFF1CE6CF4B40"
"07BF007","BRIDGE CREEK NEAR ENILDA","discontinued","fermée","AB","2021-01",NULL,"0101000020E610000038BD529621125DC02030815B77B74B40"
"07BF008","SOUTH HEART RESERVOIR NEAR MCLENNAN","active","en service","AB","2021-01",NULL,"0101000020E6100000944C158C4A265DC0007F6ABC74D74B40"
"07BF009","SALT CREEK NEAR GROUARD","active","en service","AB","2021-01",NULL,"0101000020E6100000245305A392065DC0B8B6627FD9CD4B40"
"07BF010","SOUTH HEART RIVER NEAR PEAVINE","active","en service","AB","2021-01",NULL,"0101000020E610000010D044D8F0185DC0A8EE0390DAE84B40"
"07BF901","SOUTH HEART RIVER BELOW WEST PRAIRIE RIVER","unknown","inconnue","AB","2021-01",NULL,"0101000020E61000006CF085C9541D5DC0F051B81E85C34B40"
"07BF905","SOUTH HEART RIVER NEAR BIG PRAIRIE SETTLEMENT","active","en service","AB","2021-01",NULL,"0101000020E6100000A42C431CEB125DC00070253B36CA4B40"
"07BF910","BUFFALO BAY OUTLET AT GROUARD (CAUSEWAY)","unknown","inconnue","AB","2021-01",NULL,"0101000020E61000003480B740820A5DC050546F0D6CC14B40"
"07BG004","LILY CREEK NEAR SLAVE LAKE","active","en service","AB","2021-01",NULL,"0101000020E61000007C48BF7D1DB45CC048963E7441B54B40"
"07BH001","ARCADIA CREEK NEAR ARCADIA","discontinued","fermée","AB","2021-01",NULL,"0101000020E6100000588FC2F528085DC0705B94D920B34B40"
"07BH003","DRIFTPILE RIVER NEAR DRIFTPILE","active","en service","AB","2021-01",NULL,"0101000020E610000094FF907EFBF25CC05094F6065FAC4B40"
