"stationnum","name","status","Etat","ProvTerr","HYDAT_ver","OBJECTID","geom"
"07AA001","MIETTE RIVER NEAR JASPER","active","en service","AB","2021-01",NULL,"0101000020E61000006488635DDC865DC0F0E8F17B9B6E4A40"
"07AA002","ATHABASCA RIVER NEAR JASPER","active","en service","AB","2021-01",NULL,"0101000020E61000009C11A5BDC1835DC0C0921D1B81744A40"
"07AA003","ROCKY RIVER AT HAWES","discontinued","fermée","AB","2021-01",NULL,"0101000020E6100000F06C567DAE7E5DC04024EEB1F4914A40"
"07AA004","MALIGNE RIVER NEAR JASPER","discontinued","fermée","AB","2021-01",NULL,"0101000020E61000003C9B559FAB815DC06811FC6F25774A40"
"07AA007","SUNWAPTA RIVER AT ATHABASCA GLACIER","active","en service","AB","2021-01",NULL,"0101000020E6100000B059F5B9DA4E5DC0988D40BCAE1B4A40"
"07AA008","FIDDLE RIVER AT HIGHWAY NO. 16","discontinued","fermée","AB","2021-01",NULL,"0101000020E6100000F44A598638765DC0A0A8DE1AD89A4A40"
"07AA009","WHIRLPOOL RIVER NEAR THE MOUTH","discontinued","fermée","AB","2021-01",NULL,"0101000020E61000001CA7E8482E7B5DC0F060FD9FC35C4A40"
"07AA010","FIDDLE RIVER ABOVE MORRIS CREEK","discontinued","fermée","AB","2021-01",NULL,"0101000020E61000003C7958A835755DC008F1BA7EC1964A40"
"07AB002","SNAKE INDIAN RIVER NEAR THE MOUTH","discontinued","fermée","AB","2021-01",NULL,"0101000020E6100000C0D32B6519825DC048FB912232944A40"
"07AC001","WILDHAY RIVER NEAR HINTON","active","en service","AB","2021-01",NULL,"0101000020E6100000442575029A7C5DC07829AE2AFBC24A40"
"07AC002","NORTH FOX CREEK NEAR MUSKEG","discontinued","fermée","AB","2021-01",NULL,"0101000020E6100000F475E09C11915DC02803B2D7BBDB4A40"
"07AC003","EAST CABIN CREEK NEAR MUSKEG","discontinued","fermée","AB","2021-01",NULL,"0101000020E61000005CDC460378975DC08869183E22E24A40"
"07AC004","HENDRICKSON CREEK NEAR THE MOUTH","discontinued","fermée","AB","2021-01",NULL,"0101000020E6100000E851B81E85975DC0307A19C572E34A40"
"07AC005","VOGEL CREEK NEAR THE MOUTH","discontinued","fermée","AB","2021-01",NULL,"0101000020E6100000FC43FAEDEB9C5DC048FB912232E44A40"
"07AC006","HINTON STUDY BASIN NO.14","discontinued","fermée","AB","2021-01",NULL,"0101000020E61000003C2CD49AE6915DC08869183E22DA4A40"
"07AC007","BERLAND RIVER NEAR THE MOUTH","active","en service","AB","2021-01",NULL,"0101000020E6100000D83D7958A83D5DC05002D4D4B2014B40"
"07AC008","LITTLE BERLAND RIVER AT HIGHWAY NO. 40","active","en service","AB","2021-01",NULL,"0101000020E6100000E4F21FD26F8F5DC0408DB454DED64A40"
"07AD001","ATHABASCA RIVER AT ENTRANCE","discontinued","fermée","AB","2021-01",NULL,"0101000020E610000014AE47E17A6C5DC0F846E6913FB04A40"
"07AD002","ATHABASCA RIVER AT HINTON","active","en service","AB","2021-01",NULL,"0101000020E6100000E895B20C71645DC090027D224FB64A40"
"07AD003","CACHE PERCOTTE CREEK NEAR HINTON","discontinued","fermée","AB","2021-01",NULL,"0101000020E610000014AE47E17A605DC010E6E8F17BB34A40"
"07AD004","WHISKEYJACK CREEK NEAR HINTON","discontinued","fermée","AB","2021-01",NULL,"0101000020E61000006466666666625DC04015A930B6B04A40"
"07AD005","FISH CREEK NEAR HINTON","discontinued","fermée","AB","2021-01",NULL,"0101000020E61000005027A089B0695DC020213CDA38BE4A40"
"07AD007","CACHE PERCOTTE CREEK (NORTH FORK) NEAR HINTON","discontinued","fermée","AB","2021-01",NULL,"0101000020E61000008C31772D215F5DC02090BDDEFDB14A40"
"07AD008","HINTON STUDY BASIN NO.1","discontinued","fermée","AB","2021-01",NULL,"0101000020E61000008C75711B0D645DC0B052B3075AD94A40"
"07AE001","ATHABASCA RIVER NEAR WINDFALL","active","en service","AB","2021-01",NULL,"0101000020E6100000D84603780B045DC03878D157901A4B40"
"07AE002","HINTON STUDY BASIN NO.6","discontinued","fermée","AB","2021-01",NULL,"0101000020E6100000F44A5986382E5DC0705721E527F54A40"
"07AE003","HINTON STUDY BASIN NO.7","discontinued","fermée","AB","2021-01",NULL,"0101000020E6100000B44082E2C7305DC0184A9869FBF34A40"
"07AF001","EMBARRAS RIVER NEAR MCLEOD RIVER","discontinued","fermée","AB","2021-01",NULL,"0101000020E61000005CDC460378275DC0A099999999B94A40"
"07AF002","MCLEOD RIVER ABOVE EMBARRAS RIVER","active","en service","AB","2021-01",NULL,"0101000020E610000020DBF97E6A285DC0E09DB5DB2EBC4A40"
"07AF003","WAMPUS CREEK NEAR HINTON","active","en service","AB","2021-01",NULL,"0101000020E6100000B0E1E995B2505DC0D83637A627944A40"
"07AF004","DEERLICK CREEK NEAR HINTON","discontinued","fermée","AB","2021-01",NULL,"0101000020E610000078C7293A924F5DC07048DC63E9934A40"
"07AF005","EUNICE CREEK NEAR HINTON","discontinued","fermée","AB","2021-01",NULL,"0101000020E61000004CFC1873D74E5DC0D8BD874B8E934A40"
"07AF008","QUIGLEY CREEK NEAR HINTON","discontinued","fermée","AB","2021-01",NULL,"0101000020E61000009899999999595DC0D8CCCCCCCCAC4A40"
"07AF009","NORTH ANDERSON CREEK NEAR HINTON","discontinued","fermée","AB","2021-01",NULL,"0101000020E61000009899999999595DC0F0CF7EA488A84A40"
"07AF010","SUNDANCE CREEK NEAR BICKERDIKE","active","en service","AB","2021-01",NULL,"0101000020E6100000B4D100DE022D5DC0E04334BA83C84A40"
"07AF011","HINTON STUDY BASIN NO.15","discontinued","fermée","AB","2021-01",NULL,"0101000020E6100000D434EF3845535DC0C00F406A13A74A40"
"07AF012","HINTON STUDY BASIN NO.16","discontinued","fermée","AB","2021-01",NULL,"0101000020E6100000DCBE0E9C33525DC0E80720B589A74A40"
"07AF013","MCLEOD RIVER NEAR CADOMIN","active","en service","AB","2021-01",NULL,"0101000020E610000098559FABAD4C5DC0282922C32A8A4A40"
"07AF014","EMBARRAS RIVER NEAR WEALD","active","en service","AB","2021-01",NULL,"0101000020E61000004082E2C798335DC0D0F484251EB04A40"
"07AF015","GREGG RIVER NEAR THE MOUTH","active","en service","AB","2021-01",NULL,"0101000020E61000003870CE88D2565DC0481878EE3DA04A40"
"07AF016","ERITH RIVER BELOW HANLAN CREEK","discontinued","fermée","AB","2021-01",NULL,"0101000020E610000084A757CA32245DC020213CDA389E4A40"
"07AF906","GREGG RIVER NEAR HINTON","discontinued","fermée","AB","2021-01",NULL,"0101000020E6100000088A1F63EE565DC0E0B2B5BE48A04A40"
"07AF907","ERITH RIVER BELOW HANLAN CREEK","discontinued","fermée","AB","2021-01",NULL,"0101000020E6100000701B0DE02D245DC0801F80D4269E4A40"
"07AF909","EMBARRAS RIVER AT ROBB","discontinued","fermée","AB","2021-01",NULL,"0101000020E61000006444696FF03D5DC058D6A887689C4A40"
"07AF910","WHITEHORSE CREEK NEAR CADOMIN","discontinued","fermée","AB","2021-01",NULL,"0101000020E6100000802F4CA60A565DC08896E7C1DD7D4A40"
"07AG001","MCLEOD RIVER NEAR WOLF CREEK","discontinued","fermée","AB","2021-01",NULL,"0101000020E61000007CD0B359F5115DC02803B2D7BBD34A40"
"07AG002","MCLEOD RIVER NEAR EDSON","discontinued","fermée","AB","2021-01",NULL,"0101000020E61000006CF085C954155DC0D8CCCCCCCCCC4A40"
"07AG003","WOLF CREEK AT HIGHWAY NO. 16A","active","en service","AB","2021-01",NULL,"0101000020E610000060C3D32B65115DC0E8C798BB96CC4A40"
"07AG004","MCLEOD RIVER NEAR WHITECOURT","active","en service","AB","2021-01",NULL,"0101000020E6100000E09C11A5BDF55CC0F06A2BF697014B40"
"07AG005","HINTON STUDY BASIN NO.8","discontinued","fermée","AB","2021-01",NULL,"0101000020E6100000B8FC87F4DB2F5DC0402861A6EDE74A40"
"07AG006","HINTON STUDY BASIN NO.9","discontinued","fermée","AB","2021-01",NULL,"0101000020E6100000B86B09F9A02B5DC05063B48EAAEA4A40"
"07AG007","MCLEOD RIVER NEAR ROSEVEAR","active","en service","AB","2021-01",NULL,"0101000020E6100000EC7C3F355E0A5DC0A8D634EF38D94A40"
"07AG008","GROAT CREEK NEAR WHITECOURT","active","en service","AB","2021-01",NULL,"0101000020E6100000EC5A423EE8F55CC0D0116BF129044B40"
"07AH001","FREEMAN RIVER NEAR FORT ASSINIBOINE","active","en service","AB","2021-01",NULL,"0101000020E6100000EC5A423EE8B95CC030AAB706B62E4B40"
"07AH002","CHRISTMAS CREEK NEAR BLUE RIDGE","active","en service","AB","2021-01",NULL,"0101000020E6100000E07A14AE47D55CC0E823624A241D4B40"
"07AH003","SAKWATAMAU RIVER NEAR WHITECOURT","active","en service","AB","2021-01",NULL,"0101000020E6100000ACB6627FD9F15CC0A00D32C9C8194B40"
"07BA001","PEMBINA RIVER BELOW PADDY CREEK","active","en service","AB","2021-01",NULL,"0101000020E6100000E8B7AF03E7D45CC078AC8BDB68904A40"
"07BA002","RAT CREEK NEAR CYNTHIA","active","en service","AB","2021-01",NULL,"0101000020E6100000E8C039234ADF5CC0C0847CD0B3914A40"
"07BA003","LOVETT RIVER NEAR THE MOUTH","active","en service","AB","2021-01",NULL,"0101000020E6100000408B6CE7FB295DC060F65D11FC7F4A40"
"07BB001","LOBSTICK RIVER NEAR ENTWISTLE","discontinued","fermée","AB","2021-01",NULL,"0101000020E6100000FCB27BF2B0C05CC040B56CAD2FCE4A40"
"07BB002","PEMBINA RIVER NEAR ENTWISTLE","active","en service","AB","2021-01",NULL,"0101000020E6100000A0923A014DC05CC00849111956CD4A40"
"07BB003","LOBSTICK RIVER NEAR STYAL","discontinued","fermée","AB","2021-01",NULL,"0101000020E6100000489D8026C2C65CC07066666666CE4A40"
"07BB004","PADDLE RIVER NEAR ROCHFORT BRIDGE","active","en service","AB","2021-01",NULL,"0101000020E6100000F06C567DAEC25CC018018750A5F24A40"
"07BB005","LITTLE PADDLE RIVER NEAR MAYERTHORPE","active","en service","AB","2021-01",NULL,"0101000020E6100000E00B93A982C15CC0B8777FBC57F94A40"
"07BB006","PADDLE RIVER AT BARRHEAD","active","en service","AB","2021-01",NULL,"0101000020E610000060545227A0995CC0187008556A0E4B40"
"07BB007","LAC LA NONNE AT LAC LA NONNE","active","en service","AB","2021-01",NULL,"0101000020E6100000BC74931804925CC090AC6EF59CF44A40"
"07BB008","CHIP LAKE NEAR NORTHVILLE","discontinued","fermée","AB","2021-01",NULL,"0101000020E610000050742497FFD85CC058AEF02E17D14A40"
"07BB009","CONNOR CREEK NEAR SANGUDO","discontinued","fermée","AB","2021-01",NULL,"0101000020E61000008438D6C56DBC5CC048EC4CA1F3024B40"
"07BB010","CONNOR CREEK NEAR ROCHFORT BRIDGE","discontinued","fermée","AB","2021-01",NULL,"0101000020E6100000F06C567DAEC25CC0801F80D426064B40"
"07BB011","PADDLE RIVER NEAR ANSELMO","active","en service","AB","2021-01",NULL,"0101000020E6100000E8C039234AD75CC0B0E8482EFFED4A40"
"07BB012","PADDLE RIVER NEAR SANGUDO","discontinued","fermée","AB","2021-01",NULL,"0101000020E610000028ED0DBE30B95CC0D8AE42CA4FFA4A40"
"07BB013","PADDLE RIVER AT HIGHWAY NO. 764","discontinued","fermée","AB","2021-01",NULL,"0101000020E61000007814AE47E1AA5CC040B56CAD2F064B40"
"07BB014","COYOTE CREEK NEAR CHERHILL","active","en service","AB","2021-01",NULL,"0101000020E6100000CC44D8F0F4AA5CC02018B2BAD5EF4A40"
"07BB903","ROMEO CREEK ABOVE ROMEO LAKE","discontinued","fermée","AB","2021-01",NULL,"0101000020E61000005027A089B0B95CC0080F45813E094B40"
"07BB914","PADDLE RIVER RESERVOIR NEAR ROCHFORT BRIDGE","active","en service","AB","2021-01",NULL,"0101000020E6100000B41E85EB51C45CC098442FA358F24A40"
"07BC001","PEMBINA RIVER NEAR DAPP","discontinued","fermée","AB","2021-01",NULL,"0101000020E6100000103FC6DCB5805CC010E275FD822D4B40"
"07BC002","PEMBINA RIVER AT JARVIE","active","en service","AB","2021-01",NULL,"0101000020E610000078C7293A927F5CC0A8DB4B1AA3394B40"
"07BC003","WABASH CREEK NEAR WESTLOCK","discontinued","fermée","AB","2021-01",NULL,"0101000020E61000005C4BC8073D7B5CC0B0656B7D91184B40"
"07BC004","SHOAL CREEK NEAR LINARIA","discontinued","fermée","AB","2021-01",NULL,"0101000020E61000006CCE88D2DE8C5CC058452A8C2D284B40"
"07BC005","STEELE LAKE NEAR JARVIE","discontinued","fermée","AB","2021-01",NULL,"0101000020E61000004494F6065F745CC0C09179E40F524B40"
"07BC006","DAPP CREEK AT HIGHWAY NO. 44","active","en service","AB","2021-01",NULL,"0101000020E6100000C064AA6054765CC05050FC1873274B40"
"07BC007","WABASH CREEK NEAR PIBROCH","active","en service","AB","2021-01",NULL,"0101000020E61000002475029A087B5CC0303B3602F11A4B40"
"07BE001","ATHABASCA RIVER AT ATHABASCA","active","en service","AB","2021-01",NULL,"0101000020E6100000DC4F8D976E525CC0985DA27A6B5C4B40"
"07BE002","BAPTISTE LAKE NEAR ATHABASCA","discontinued","fermée","AB","2021-01",NULL,"0101000020E6100000D000DE0209625CC010117008555E4B40"
"07BE003","PORTER CREEK ABOVE BAPTISTE LAKE","active","en service","AB","2021-01",NULL,"0101000020E6100000E00B93A982655CC058DBBFB2D25C4B40"
"07BE004","STONY CREEK NEAR TAWATINAW","active","en service","AB","2021-01",NULL,"0101000020E6100000886CE7FBA95D5CC050696FF085254B40"
"07BF001","EAST PRAIRIE RIVER NEAR ENILDA","active","en service","AB","2021-01",NULL,"0101000020E6100000588638D6C5155DC010C58F3177B54B40"
"07BF002","WEST PRAIRIE RIVER NEAR HIGH PRAIRIE","active","en service","AB","2021-01",NULL,"0101000020E61000009C8026C2861F5DC0C8DEFDF15EB94B40"
"07BF004","SOUTH HEART RIVER NEAR HIGH PRAIRIE","discontinued","fermée","AB","2021-01",NULL,"0101000020E61000008CA0F831E61E5DC0384278B471C44B40"
